Symbol	Name	USSymbol	Sector	OTC
MIN:TSXV	Excelsior Mining Corp.		Mining	OTCQX
XRC:TSX	Exeter Resource Corporation	XRA:US	 Mining 	 NYSE MKT
EXF:TSX	EXFO Inc.	EXFO:US	 Technology 	 NasdaqGM
FO:TSXV	Falcon Oil & Gas Ltd.		Oil & Gas	AIM
FO:TSXV	Falcon Oil & Gas Ltd.		Oil & Gas	Irish Stock Exchange
FR:TSX	First Majestic Silver Corp.	AG:US	 Mining 	 NYSE
FM:TSX	First Quantum Minerals Ltd.		 Mining 	 LSE
FSV:TSX	FirstService Corporation	FSV:US	 Real Estate 	 NasdaqGM
FLY:TSXV	FLYHT Aerospace Solutions Ltd.		Technology	OTCQX
FMS:TSXV	Focus Graphite Inc.		Mining	OTCQX
FCO:TSX	Formation Metals Inc.		 Mining 	 OTCQX
FVI:TSX	Fortuna Silver Mines Inc.	FSM:US	 Mining 	 Lima (BVL)
FVI:TSX	Fortuna Silver Mines Inc.	FSM:US	 Mining 	 NYSE
FT:TSX	Fortune Minerals Limited		 Mining 	 OTCQX
FNV:TSX	Franco-Nevada Corporation	FNV:US	 Mining 	 NYSE
GAL:TSXV	Galantas Gold Corporation		Mining	AIM
GZT:TSX	Gazit-Globe Ltd.	GZT:US	 Real Estate 	 NYSE
GZT:TSX	Gazit-Globe Ltd.	GZT:US	 Real Estate 	 TASE
GMO:TSX	General Moly Inc.	GMO:US	 Mining 	 NYSE MKT
GMM.U:TSX	General Motors Company	GM:US	 Diversified Industries 	 NYSE
GIX:TSX	Geologix Explorations Inc.		 Mining 	 OTCQX
GIL:TSX	Gildan Activewear Inc.	GIL:US	 Diversified Industries 	 NYSE
WDG:TSXV	Giyani Gold Corp.		Mining	JSE
BOB:TSXV	Global Hunter Corp.		Mining	OTCQX
GMX:TSX	Globex Mining Enterprises Inc.		 Mining 	 OTCQX
GSV:TSXV	Gold Standard Ventures Corp.		Mining	NYSE MKT
G:TSX	Goldcorp Inc.	GG:US	 Mining 	 NYSE
GBN:TSXV	Golden Band Resources Inc.		Mining	OTCQX
AUM:TSX	Golden Minerals Company	AUMN:US	 Mining 	 NYSE MKT
GQM:TSX	Golden Queen Mining Co. Ltd.		 Mining 	 OTCQX
GSC:TSX	Golden Star Resources Ltd.	GSS:US	 Mining 	 NYSE MKT
GOD:TSXV	Goldrush Resources Ltd.		Mining	OTCQX
GTE:TSX	Gran Tierra Energy Inc.	GTE:US	 Oil & Gas 	 NYSE MKT
GXO:TSX	Granite Oil Corp.		 Oil & Gas 	 OTCQX
GRT.UN:TSX	Granite Real Estate Investment Trust	GRP.U:US	 Real Estate 	 NYSE
GPH:TSXV	Graphite One Resources Inc.		Mining	OTCQX
GPR:TSX	Great Panther Silver Limited	GPL:US	 Mining 	 NYSE MKT
GZD:TSXV	Grizzly Discoveries Inc.		Mining	OTCQX
GWR:TSX	GWR Global Water Resources Corp.		 Utilities & Pipelines 	 OTCQX
HEO:TSXV	H2O Innovation Inc.		Clean Technology	 OTCQX
HEO:TSXV	H2O Innovation Inc.		Clean Technology	NYSE Alternext
HER:TSX	Heron Resources Limited		 Mining 	 ASX
HZM:TSX	Horizonte Minerals Plc		 Mining 	 AIM
HBM:TSX	HudBay Minerals Inc.	HBM:US	 Mining 	 NYSE
HBM:TSX	HudBay Minerals Inc.	HBM:US	 Mining 	 Lima (BVL)
HUD:TSXV	Hudson Resources Inc.		Mining	OTCQX
HYG:TSX	Hydrogenics Corporation	HYGS:US	 Clean Technology 	 NasdaqGM
IMA:TSXV	I-Minerals Inc.		Mining	OTCQX
IMG:TSX	IAMGold Corporation	IAG:US	 Mining 	 NYSE
IB:TSXV	IBC Advanced Alloys Corp.		Diversified Industries	OTCQX
ICP:TSX	IC Potash Corp.		 Mining 	 OTCQX
ICO:TSXV	iCo Therapeutics Inc.		Life Sciences	OTCQX
IMV:TSX	Immunovaccine Inc.		 Life Sciences 	 OTCQX
IMO:TSX	Imperial Oil Limited	IMO:US	 Oil & Gas 	 NYSE MKT
ICG:TSXV	Integra Gold Corp.		Mining	OTCQX
IGX:TSXV	IntelGenx Technologies Corp.		Life Sciences	OTCQX
I:TSX	IntelliPharmaCeutics International Inc.	IPCI:US	 Life Sciences 	 NasdaqCM
ITH:TSX	International Tower Hill Mines Ltd.	THM:US	 Mining 	 NYSE MKT
INT:TSXV	Intertainment Media Inc.		Technology	OTCQX
IGD:TSXV	Intigold Mines Ltd.		Mining	OTCQX
IRC:TSXV	Ironside Resources Inc.		Mining	OTCQX
IGT:TSX	iShares Gold Trust	IAU:US	 ETP 	 NYSE Arca
ISD:TSXV	iSign Media Solutions Inc.		Technology	OTCQX
IAE:TSX	Ithaca Energy Inc.		 Oil & Gas 	 AIM
JCO:TSXV	Jericho Oil Corporation		Oil & Gas	OTCQX
JE:TSX	Just Energy Group Inc.	JE:US	 Diversified Industries 	 NYSE
KEK:TSXV	Keek Inc.		Technology	OTCQX
KLS:TSX	Kelso Technologies Inc.	KIQ:US	 Diversified Industries 	 OTCQX
KFS:TSX	Kingsway Financial Services Inc.	KFS:US	 Financial Services 	 NYSE
K:TSX	Kinross Gold Corporation	KGC:US	 Mining 	 NYSE
KGI:TSX	Kirkland Lake Gold Inc.		 Mining 	 AIM
KDX:TSX	Klondex Mines Ltd.		 Mining 	 OTCQX
KXM:TSXV	Kobex Capital Corp.		Financial Services	OTCQB
LSG:TSX	Lake Shore Gold Corp.	LSG:US	 Mining 	 NYSE MKT
LAM:TSX	Laramide Resources Ltd.		 Mining 	 ASX
LAT:TSXV	Latin American Minerals Inc.		Mining	OTCQX
LME:TSXV	Laurion Mineral Exploration Inc.		Mining	OTCQX
LMD:TSXV	LED Medical Diagnostics Inc.		Life Sciences	OTCQX
LVN:TSX	Levon Resources Ltd.		 Mining 	 OTCQX
LEX:TSX	Lexam VG Gold Inc.		 Mining 	 OTCQX
LIO:TSXV	Lion One Metals Limited		Mining	OTCQX
LMR:TSXV	Lomiko Metals Inc.		Mining	OTCQX
LN:TSX	Loncor Resources Inc.		 Mining 	 NYSE MKT
LUC:TSX	Lucara Diamond Corp.		 Mining 	 OMX Nordic Exchange
LGC:TSX	Luna Gold Corp.		 Mining 	 Lima (BVL)
LGC:TSX	Luna Gold Corp.		 Mining 	 OTCQX
LUG:TSX	Lundin Gold Inc.		 Mining 	 OMX Nordic Exchange
LUN:TSX	Lundin Mining Corporation		 Mining 	 OMX Nordic Exchange
MMS:TSXV	Macarthur Minerals Limited		Mining	OTCQX
MCZ:TSX	Mad Catz Interactive, Inc.	MCZ:US	 Technology 	 NYSE MKT
MAG:TSX	MAG Silver Corp.	MVG:US	 Mining 	 NYSE MKT
MNM:TSXV	Magellan Minerals Ltd.		Mining	OTCQX
MG:TSX	Magna International Inc.	MGA:US	 Diversified Industries 	 NYSE
MJS:TSXV	Majestic Gold Corp.		Mining	OTCQX
MFC:TSX	Manulife Financial Corporation	MFC:US	 Financial Services 	 HKEx
MFC:TSX	Manulife Financial Corporation	MFC:US	 Financial Services 	 NYSE
MRN:TSX	Marengo Mining Limited		 Mining 	 ASX
MLN:TSXV	Marlin Gold Mining Ltd.		Mining	OTCQX
MQL:TSXV	Marquee Energy Ltd.		Oil & Gas	OTCQX
LLG:TSXV	Mason Graphite Inc.		Mining	OTCQX
MAT:TSXV	Matamec Explorations Inc.		Mining	OTCQX
MAO:TSXV	Maudore Minerals Ltd.		Mining	OTCQX
MBC:TSX	MBAC Fertilizer Corp.		 Mining 	 OTCQX
MCB:TSX	McCoy Global Inc.		 Diversified Industries 	 OTCQX
MUX:TSX	McEwen Mining Inc.	MUX:US	 Mining 	 NYSE
MCW:TSXV	MCW Energy Group Limited		Diversified Industries	OTCQX
MDZ.A:TSX	MDC Partners Inc.	MDCA:US	 Comm & Media 	 NasdaqGM
MDL:TSXV	Medallion Resources Ltd.		Mining	OTCQX
MFS:TSXV	Medifocus Inc.		Life Sciences	OTCQX
MRI.U:TSX	Mercer International Inc.	MERC:US	 Forest Products & Paper 	 NasdaqGM
MSL:TSX	Merus Labs International Inc.	MSLI:US	 Life Sciences 	 NasdaqCM
MX:TSX	Methanex Corporation	MEOH:US	 Diversified Industries 	 NasdaqGM
MAX:TSX	Midas Gold Corp.		 Mining 	 OTCQX
MRO:TSXV	Millrock Resources Inc.		Mining	OTCQX
MMM:TSX	Minco Gold Corporation	MGH:US	 Mining 	 NYSE MKT
MSV:TSX	Minco Silver Corporation		 Mining 	 OTCQX
MIO:TSXV	Mindoro Resources Ltd.		Mining	ASX
MAK:TSX	Minemakers Limited		 Mining 	 ASX
IRL:TSX	Minera IRL Limited		 Mining 	 Lima (BVL)
IRL:TSX	Minera IRL Limited		 Mining 	 AIM
MMV:TSXV	Mineral Mountain Resources Ltd.		Mining	OTCQX
MGT:TSX	Mines Management Inc.	MGN:US	 Mining 	 NYSE MKT
MNW:TSX	Mitel Networks Corporation	MITL:US	 Technology 	 NasdaqGM
MM:TSX	Mood Media Corporation		 Comm & Media 	 AIM
MPV:TSX	Mountain Province Diamonds Inc.	MDM:US	 Mining 	 NasdaqGM
MVW:TSXV	Mountainview Energy Ltd.		Oil & Gas	OTCQX
NRE:TSX	Namibia Rare Earths Inc.		 Mining 	 OTCQX
NTS:TSXV	NanoTech Security Corp.		Technology	OTCQX
NSP:TSXV	Naturally Splendid Enterprises Ltd.		Diversified Industries	OTCQB
NUS:TSX	Nautilus Minerals Inc.		 Mining 	 OTCQX
NMX:TSXV	Nemaska Lithium Inc.		Mining	OTCQX
NVC:TSX	Neovasc Inc.	NVCN:US	 Life Sciences 	 NasdaqCM
NTB:TSX	Neptune Technologies & Bioressources Inc.	NEPT:US	 Life Sciences 	 NasdaqCM
NSU:TSX	Nevsun Resources Ltd.	NSU:US	 Mining 	 NYSE MKT
NGD:TSX	New Gold Inc.	NGD:US	 Mining 	 NYSE MKT
NML:TSX	New Millennium Iron Corp.		 Mining 	 OTCQX
NZ:TSXV	New Zealand Energy Corp.		Oil & Gas	OTCQX
NCA:TSXV	NewCastle Gold Ltd.		Mining	OTCQX
NMI:TSX	Newmarket Gold Inc.		 Mining 	 OTCQX
NXE:TSXV	NexGen Energy Ltd.		Mining	OTCQX
NGQ:TSX	NGEx Resources Inc.		 Mining 	 OMX Nordic Exchange
NB:TSX	NioCorp Developments Ltd.		 Mining 	 OTCQX
NOX:TSXV	Niogold Mining Corp.		Mining	OTCQX
NHC:TSX	Nobilis Health Corp. 	HLTH:US	 Life Sciences 	 NYSE MKT
NII:TSX	Norsat International Inc. 	NSAT:US	 Diversified Industries 	 NYSE MKT
NOA:TSX	North American Energy Partners Inc.	NOA:US	 Diversified Industries 	 NYSE
PDL:TSX	North American Palladium Ltd.		 Mining 	 NYSE MKT
NPD:TSXV	North American Potash Developments Inc.		Mining	OTCQX
NDM:TSX	Northern Dynasty Minerals Ltd.	NAK:US	 Mining 	 NYSE MKT
NGC:TSXV	Northern Graphite Corporation		Mining	OTCQX
NFE:TSXV	Northern Iron Corp.		Mining	OTCQX
NEE:TSXV	Northern Vertex Mining Corp.		Mining	OTCQX
NCQ:TSX	NovaCopper Inc.	NCQ:US	 Mining 	 NYSE MKT
NDQ:TSX	Novadaq Technologies Inc.	NVDQ:US	 Life Sciences 	 NasdaqGM
NG:TSX	Novagold Resources Inc.	NG:US	 Mining 	 NYSE MKT
NUG:TSXV	Nulegacy Gold Corporation		Mining	OTCQX
OGC:TSX	OceanaGold Corporation		 Mining 	 ASX
FEO:TSXV	Oceanic Iron Ore Corp.		Mining	OTCQX
ONC:TSX	Oncolytics Biotech Inc.	ONCY:US	 Life Sciences 	 NasdaqCM
OTC:TSX	Open Text Corporation	OTEX:US	 Technology 	 NasdaqGM
OPS:TSXV	OPSENS Inc.		Technology	OTCQX
ORT:TSX	Orbite Technologies Inc.		 Clean Technology 	 OTCQX
ORL:TSX	Orocobre Limited		 Mining 	 ASX
OMI:TSX	Orosur Mining Inc.		 Mining 	 AIM
OSU:TSX	Orsu Metals Corporation		 Mining 	 AIM
OOO:TSXV	Otis Gold Corp.		Mining	OTCQX
BKM:TSXV	Pacific Booker Minerals Inc.		Mining	NYSE MKT
PRE:TSX	Pacific Exploration & Production Corporation		 Oil & Gas 	 BOVESPA
PRE:TSX	Pacific Exploration & Production Corporation		 Oil & Gas 	 BVC
PP:TSXV	Pacific Potash Corporation		Mining	OTCQX
PDN:TSX	Paladin Energy Ltd.		 Mining 	 ASX
PAA:TSX	Pan American Silver Corp.	PAAS:US	 Mining 	 NasdaqGM
PML:TSXV	Panoro Minerals Ltd.		Mining	LIMA (BVL)
